answer,question,passage
True:,Вднх - это выставочный центр??,«Вы́ставочный центр» — станция Московского монорельса. Расположена между станциями «Улица Академика Королёва» и «Улица Сергея Эйзенштейна». Находится на территории Останкинского района Северо-Восточного административного округа города Москвы. Переход на станцию  ВДНХ Калужско-Рижской линии. Названа в честь Всероссийского выставочного центра — названия ВДНХ с 1992 по 2014 год. 20 ноября 2004 года линия монорельса начала работать в «экскурсионном режиме» и перевезла первых пассажиров .
True:,Вднх - это выставочный центр??,"Вы́ставка достиже́ний наро́дного хозя́йства  , в 1959—1991 годах — Вы́ставка достиже́ний наро́дного хозя́йства СССР , в 1992—2014 годах — Всеросси́йский вы́ставочный центр ) — выставочный комплекс в Останкинском районе Северо-Восточного административного округа города Москвы, второй по величине выставочный комплекс в городе. Входит в 50 крупнейших выставочных центров мира. Ежегодно ВДНХ посещают 30 млн гостей. 1 августа 2019 года выставка отпраздновала 80-летний юбилей. Территориально ВДНХ объединена с парком «Останкино» и Главным ботаническим садом , их общая площадь составляет почти 700 га: 240,2 га — площадь ВДНХ, 75,6 га — площадь парка «Останкино», 361 га — площадь ГБС, 9,5 га музейно-выставочный центр «Рабочий и колхозница» и площадь перед аркой Главного входа. На территории Выставки расположено множество шедевров архитектуры — 49 объектов ВДНХ признаны памятниками культурного наследия."
True:,Был ли джиган в black star??,"Вместе с этим треком они выступили на церемонии вручения наград MTV RMA — это был первый выход Джигана на большую сцену. В 2007 году Джиган стал официальным артистом лейбла Black Star Inc., выпустил первый песню и клип «Одноклассница» — совместная работа с Тимати. В марте 2011 года появилась совместная с Юлей Савичевой композиция «Отпусти». Песня поднялась в радиочарте «Tophit» до 8 места и заняла первое место чарта Weekly Audience Choice Top Hit . Количество просмотров клипа на YouTube превысило 17 миллионов."
True:,Xiaomi конкурент apple??,"Xiaomi — китайская компания, основанная в 2010 году и занимающаяся выпуском электроники и бытовой техники, а также разработкой программного обеспечения. Основной продукцией компании являются смартфоны, первый из которых был выпущен в 2011 году. В настоящее время Xiaomi производит широкий ассортимент смартфонов в разных ценовых сегментах и является одним из крупнейших производителей смартфонов в мире. Так, в третьем квартале 2014 года эта компания заняла наивысшее для себя третье место в мире по поставкам смартфонов, набрав 5,2 % в штучном выражении и уступив лишь Samsung и Apple . За весь 2017 год компания заняла по продажам первое место в Китае и второе место в Индии. В данном списке приводятся все смартфоны, когда-либо выпущенные компанией Xiaomi."
False:,Был ли автомат калашникова в вов??,"Отметив некоторые недостатки и в целом удачную конструкцию, специалисты ГАУ не рекомендовали принимать ПП Калашникова на вооружение по технологическим причинам. Заключение гласило: С 1942 года Калашников работал на Центральном научно-исследовательском полигоне стрелкового и миномётного вооружения ГАУ РККА. Здесь в 1944 году он создал опытный образец самозарядного карабина, который, хотя и не вышел в серийное производство, частично послужил прототипом для создания автомата. С 1945 года Михаил Калашников начал разработку автоматического оружия под промежуточный патрон 7,62×39 образца 1943 года. Автомат Калашникова победил в конкурсе 1947 года и был принят на вооружение."
True:,Может ли автомобиль ездить на газу??,"Автомобиль на природном газе — один из видов автомобилей на альтернативном топливе — они используют компримированный природный газ  или сжиженный природный газ . К этому классу не относятся автомобили, использующие в качестве топлива пропан-бутановую смесь, так как это принципиально другая технология. Мировыми лидерами по количеству автомобилей на природном газе являются: Иран — 3,3 миллиона автомобилей, Пакистан — 3,1 миллиона автомобилей, Аргентина — 2,17 миллиона автомобилей, Бразилия — 1,73 миллиона автомобилей, Индия — 1,50 миллиона автомобилей. Азиатско-Тихоокеанский регион лидирует по количеству автомобилей на природном газе с 8,45 миллионами автомобилей, за ним идет Латинская Америка с 4,43 миллионами автомобилей. 90 % автомобилей на природном газе в Латинской Америке двухтопливные — они могут использовать в качестве моторного топлива как компримированный природный газ , так и бензин. Большинство автомобилей с бензиновым двигателем могут быть переоборудованы на использование метана в качестве моторного топлива, и после переоборудования становятся двухтопливными."
True:,Может ли автомобиль ездить на газу??,"Для работы на газообразных топливах транспортные средства оснащаются газобаллонным оборудованием . Газобаллонное оборудование  автомобиля — дополнительное оборудование, позволяющее хранить и подавать в двигатель внутреннего сгорания  газообразное топливо. В зависимости от вида применяемых газообразных топлив и типа двигателей автомобили производятся или переоборудуются в газобаллонные автомобили: однотопливные, двухтопливные с независимым питанием двигателя одним из топлив и двухтопливные с одновременной подачей двух топлив . К газообразным автомобильным топливам относятся:  — компримированный природный газ , он же сжатый природный газ  — метан;  — сжиженный нефтяной газ  — пропан-бутановая смесь.В зависимости от применяемого газового топлива принципиальные схемы систем питания имеют свои специфические особенности и одновременно общие элементы. Для классификации систем ГБО используют термин «поколения». Хотя, на данный момент, официально утверждённой международной классификации автомобильного ГБО не существует, в профессиональных кругах сложилась определённая градация."
True:,Был ли автомобиль принцессы дианы в дтп??,"Несмотря на продолжительные реанимационные попытки, включая внутренний массаж сердца, она умерла в 4:00 утра, поскольку данные ранения оказались несовместимыми с жизнью. Позднее в то же утро, Жан-Пьер Шевенман , французский премьер-министр Лионель Жоспен, Бернадетт Ширак , и Бернар Кушнер , посетили палату, где лежало тело Дианы и отдали последнюю дань уважения. После их визитов, Англиканский Архидиакон Франции, отец Мартин Дрейпер, прочитал благодарственные молитвы из Книги Общей Молитвы. Около 2:00 ночи, бывший муж Дианы, Чарльз, принц Уэльский, и две её старшие сестры, Сара Маккоркодейл и Джейн Феллоуз, прибыли в Париж; они оставили её тело спустя 90 минут. Первоначальные сообщения в СМИ заявили, что автомобиль Дианы столкнулся с столбом со скоростью 190 км/ч , и что стрелка спидометра застряла в этом положении."
True:,Есть ли в индийском океане акулы??,"Обыкновенная акула-молот, или молот-рыба  — один из видов рода акул-молотов , семейство молотоголовых акул . Максимальная зарегистрированная длина составляет 5 м. Эти рыбы обитают в тропических и тёплых умеренных водах всех океанов. Летом совершают миграции и уходят в более высокие широты, где вода прохладнее. Держатся ближе к поверхности воды по сравнению с сородичами, на глубине до 20 м. Передний край «молота» у них лишён выемки, что отличает их от прочих молотоголовых акул. Иногда собираются в стаи, численность которых достигает сотен, а иногда тысяч особей."
True:,Есть ли в индийском океане акулы??,"Ри́фовая аку́ла  — единственный вид рода рифовых акул из семейства серых акул отряда кархаринообразных. Обитают в Индийском и Тихом океанах, встречаются на глубине от 1 до 330 м. Максимальная зарегистрированная длина — 213 см. Кончики плавников окрашены в белый цвет. Рацион в основном состоит из костистых рыб, головоногих и ракообразных. Эти акулы размножаются живорождением, а эмбрионы питаются за счёт плаценты."
